RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
1,"Alabama, SEC",74.7,91.6,61.7,90
2,"Clemson, ACC",83.9,84.1,30.8,86.3
3,"Oklahoma, Big 12",81.2,80.2,44.3,84.8
4,"Ole Miss, SEC",85.4,73,45.9,84
5,"OSU, Big Ten",69.4,80,70.4,82.8
6,"Stanford, Pac-12",84.1,60.5,65.7,80.7
7,"Baylor, Big 12",82.7,67.3,35.3,79.2
8,"Notre Dame, FBS Indep.",85.1,54.1,68.5,79
9,"UNC, ACC",84.1,57.6,69.9,78.7
10,"Tennessee, SEC",71.5,68.7,70.9,77.9
11,"Michigan, Big Ten",70.6,71,65.1,77.5
12,"Miss St, SEC",78,65.6,48.5,76.3
13,"LSU, SEC",73.8,70.4,43.2,75.3
14,"Arkansas, SEC",88.4,44.3,49.9,74.9
15,"W Kentucky, C-USA",84.5,49.8,55.1,74.2
16,"FSU, ACC",70,70.3,48.8,73.8
17,"TCU, Big 12",67.4,70.1,53.1,73.1
18,"Navy, American",79.5,55.9,48.7,73.1
19,"Oregon, Pac-12",83.9,49.7,55.6,72.9
20,"Georgia, SEC",54.8,79.6,54.6,72.7
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
21,"Michigan State, Big Ten",68.6,71.8,38.6,72.6
22,"USC, Pac-12",71.1,66.9,43.8,71.8
23,"Washington, Pac-12",48,78.4,66.9,71.4
24,"Iowa, Big Ten",64.4,71.4,47.5,71.3
25,"Utah, Pac-12",49.3,80.5,58,70.8
26,"Oklahoma State, Big 12",70.1,61.1,54.2,69.7
27,"Houston, American",63.2,66.3,59.2,69.6
28,"Cal, Pac-12",79.5,55,35,69.6
29,"Wisconsin, Big Ten",53.4,74.7,58.2,68.4
30,"West Virginia, Big 12",55.9,74.8,46.6,68.2
31,"Memphis, American",68.9,52.9,65.8,67
32,"Florida, SEC",46.5,77.4,51,66.6
33,"UCLA, Pac-12",66.7,64.2,34.7,65.8
34,"Toledo, MAC",57.3,67.5,52.3,65.8
35,"Texas A&M, SEC",49.9,71.9,61,65.6
36,"Auburn, SEC",59,63.7,56.5,65.4
37,"Louisville, ACC",50.7,73.8,47.2,64.9
38,"Bowling Green, MAC",81.4,41.7,34.5,64.6
39,"Ga Southern, Sun Belt",60,62.4,53.8,64.4
40,"Washington St, Pac-12",63,63.2,35.3,63.5
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
41,"Texas Tech, Big 12",84.2,26.3,64.1,62.8
42,"NC State, ACC",69.9,48,47.6,61.4
43,"Nebraska, Big Ten",63.7,50.5,59.9,61.1
44,"BYU, FBS Indep.",56.3,59.5,56.6,61
45,"Boise State, MW",52.8,66.6,48.5,60.9
46,"San Diego State, MW",47.5,66,60.4,60.5
47,"Pitt, ACC",61.3,55.7,50.2,60.4
48,"Northwestern, Big Ten",31.8,80.1,57.2,60.1
49,"Arizona State, Pac-12",59.6,54.1,56.6,59.9
50,"Miami, ACC",55.7,57,58.2,59.5
51,"USF, American",54.9,62.4,42.2,59
52,"VT, ACC",45.1,63.8,64.3,58.7
53,"Texas, Big 12",41.6,66,61,58.6
54,"Temple, American",42.2,69.3,54,58
55,"LA Tech, C-USA",62.3,56.4,35.6,58
56,"Southern Miss, C-USA",60.7,50.6,46.9,56.7
57,"Appalachian St, Sun Belt",51.3,62.1,41.4,56.5
58,"W Michigan, MAC",66.7,37.4,57.2,55.4
59,"Penn State, Big Ten",41.2,69.2,39,54.6
60,"Marshall, C-USA",40.3,57.6,74.2,54.2
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
61,"Arkansas State, Sun Belt",42.2,60.1,59.6,53.5
62,"Duke, ACC",48.6,51.8,65.7,53.4
63,"Kansas State, Big 12",52.1,44.5,72.8,53.3
64,"Indiana, Big Ten",68.1,34.2,51.3,52.3
65,"Iowa State, Big 12",51.1,50.1,53.5,51.4
66,"Air Force, MW",59,43.8,43.8,50.9
67,"Arizona, Pac-12",65.6,35.5,54.4,50.8
68,"Georgia Tech, ACC",43.7,54.8,54.6,50
69,"Missouri, SEC",25,72.5,46.4,49.2
70,"Vanderbilt, SEC",27.3,78.3,33.4,49.1
71,"UVA, ACC",52.4,50.7,37,49.1
72,"Illinois, Big Ten",42.1,59.4,41.8,48.7
73,"ECU, American",48.5,45.1,60.4,48.1
74,"Ohio, MAC",41,54.4,55.7,47.9
75,"N Illinois, MAC",36.9,59.3,47.3,47.5
76,"Mid Tennessee, C-USA",53.9,40,55.5,47.4
77,"Cincinnati, American",58.5,39.2,39.5,47.1
78,"Syracuse, ACC",48.7,42.3,61.2,46.7
79,"Minnesota, Big Ten",43.7,51.8,46.9,46.7
80,"Cent Michigan, MAC",45.8,49.7,44.3,45.9
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
81,"South Carolina, SEC",52.7,40.8,50.7,45.7
82,"Boston College, ACC",13.1,84.1,40.2,45.5
83,"Akron, MAC",32.6,59.1,49.3,44.5
84,"Utah State, MW",36.4,56.6,43.8,44.2
85,"San Jose State, MW",53.5,37.3,41.2,42.9
86,"Kentucky, SEC",47.7,42.3,45.6,42.9
87,"Maryland, Big Ten",36.7,50.5,48.4,42.1
88,"UConn, American",26.4,59.4,52.2,41.4
89,"Colorado, Pac-12",35.5,51.8,46.5,41.1
90,"Colorado State, MW",47.9,30.9,55.6,38.3
91,"Troy, Sun Belt",32.2,44.5,58.9,37.7
92,"Tulsa, American",54.1,26.7,40.5,35.8
93,"New Mexico, MW",38.4,36.3,56.2,35.7
94,"Purdue, Big Ten",45.3,37.9,29.7,35.6
95,"Rutgers, Big Ten",51.6,21.1,65.1,34.8
96,"Nevada, MW",36.3,37,51.1,34
97,"Wake Forest, ACC",23.7,49.1,56.7,33.4
98,"Georgia State, Sun Belt",38.6,39,31.8,32.6
99,"Buffalo, MAC",32.2,39.7,40.7,30.9
100,"FAU, C-USA",20.7,48.1,56.8,30.2
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
101,"Oregon State, Pac-12",33.3,35.2,42,29.4
102,"FIU, C-USA",31,30.4,64.6,28.8
103,"UNLV, MW",36.2,26.6,56.3,28.5
104,"UMass, MAC",30.4,35.5,38.2,27.2
105,"UTSA, C-USA",23.6,35.9,42.1,24
106,"South Alabama, Sun Belt",25.2,36.2,33.3,23.5
107,"Idaho, Sun Belt",41.7,16.4,42.8,22.6
108,"Kent State, MAC",8.3,53.8,44.6,22.4
109,"SMU, American",40.7,17.1,42.4,22.2
110,"Tulane, American",20.7,39.2,28.1,21.7
111,"Louisiana, Sun Belt",32.1,19.7,51.3,21
112,"Army, FBS Indep.",26.7,26.5,41.9,20.9
113,"Rice, C-USA",42.2,11.7,50.1,20.8
114,"Texas State, Sun Belt",32.3,14.8,67.9,19.9
115,"Ball State, MAC",26.8,20.3,61.3,19.7
116,"Fresno State, MW",17.9,31.4,49.5,19.5
117,"Hawaii, MW",16.5,28,64.8,19.5
118,"Miami (OH), MAC",14.5,40,33.5,19.1
119,"New Mexico St, Sun Belt",29.8,18.4,46.8,18.7
120,"UL Monroe, Sun Belt",10.7,42.5,37.9,18.1
RK,TEAM,OFFENSE,DEFENSE,SPECIAL TMS,OVERALL
121,"Old Dominion, C-USA",26.5,23.4,32.4,17.6
122,"UTEP, C-USA",16.9,29.7,40.3,16.7
123,"Kansas, Big 12",20.3,26.1,31.6,15.8
124,"E Michigan, MAC",35.2,8.8,54.3,13.7
125,"Charlotte, C-USA",9.4,35.5,39.1,13.5
126,"Wyoming, MW",25.1,15.9,33.3,13.1
127,"UCF, American",8.4,22.7,60.2,10.8
